-GRID INITIALISATION SYSTEM V1.7-
-WARNING: THIS IS A PROTECTED COMPUTER SYSTEM-
-WARNING: ISSUED COMMAND REQUIRES ELEVATION-
----------------------------------------------

[GRID]
Loading profile...

Welcome back! Access granted.

Received POWEROFF

> Issued by root@(none)
System is going down for POWEROFF NOW

Shutting down GRID Node 7ed95ed0-a7b0-48ee-9b3e-d4abcd592c67
Shutting down GRID Node 492754cc-2069-4001-9955-7cddd12b177b
Shutting down GRID Node 4c26fbd7-21c8-45f0-82fb-68f7f2a5051c
Shutting down GRID Node 33e1e164-09d7-431b-b25f-dce855e906ea
Shutting down GRID Node 2c3fea7c-a8b3-4fd7-8f83-b3a72b06176a
Shutting down GRID Node ec01fcbe-a4e8-47d1-990d-63cbed3036c1
Shutting down GRID Node 1eb3b7b8-e31e-4dc7-938d-943442b6bade
Shutting down GRID Node 11c23cce-2a78-4479-a4db-da67878ed7b0
Shutting down GRID Node 2372ae8d-e973-4c46-b9e2-716098eda3dd
Shutting down GRID Node e7661e37-9566-44d5-a4ce-05817184aead
Shutting down GRID Node 17191768-cbea-414f-9da4-4e574a62f095
Shutting down GRID Node df9947a0-0e99-480e-9781-9f6e7172092e
Shutting down GRID Node 94cdf539-e5ae-4394-a54d-5f259bf3b100
Shutting down GRID Node 74236573-d4ee-4f5b-91a4-5a13a2043935
Shutting down GRID Node 22a8f71f-0cd8-4891-b7fa-355d25071919
Shutting down GRID Node 9111acc5-d8ea-4ea1-bc8f-545611c548d8
Shutting down GRID Node fa0f9b37-2457-4520-ac8f-7884acfe7c3e
Shutting down GRID Node 68aadd48-54bb-4657-b660-a209bf8c8ac1
Shutting down GRID Node 7367e522-b527-48db-9137-254bfd1cdb20
Shutting down GRID Node 2b3982da-7c71-4181-af6d-59705cbd731e
Shutting down GRID Node 712c06c4-d24c-4ced-9746-a2e5a3f04a16
Shutting down GRID Node e8a07e77-809f-4c58-b8eb-81bb2d8bc1e0
Shutting down GRID Node 95072461-1963-4251-b4ad-b6e19f1fc233
Shutting down GRID Node a2aca549-0ed2-415a-bbf9-06044d004ad3
Shutting down GRID Node 192a6a45-aeb9-4265-a261-b9498dffa0db
Shutting down GRID Node abad7500-d12c-4d5e-ab5d-db2417bc6ef3
Shutting down GRID Node 740f61cd-e639-4219-bbfd-d70c1382f09a
Shutting down GRID Node 6b5c3697-1ab7-403e-9f25-a112d48ae6e2
Shutting down GRID Node 1d181da0-83f3-465b-9a7e-324a2729756f
Shutting down GRID Node d0249acf-9356-4682-be70-d8e1ca2bb8e6
Shutting down GRID Node 40893adc-0d00-4fc0-9086-c652639342e4
Shutting down GRID Node 4ba146d1-034c-40ee-8ff1-b0299a2f0945
Shutting down GRID Node cb851cdd-de59-4a64-8123-3c07d423507f
Shutting down GRID Node cfdaccb9-cf80-4818-abb3-d3da0f15cc52
Shutting down GRID Node 38d1d45f-5485-4b91-b82d-9ab9f1e1ea72
Shutting down GRID Node 297ca51e-1743-4e47-9efd-531ff8795a76
Shutting down GRID Node c56f2fb2-4bab-4e8e-9bff-3073e77baf17
Shutting down GRID Node 6f030a48-6fd6-4654-9678-352c136ad3c2
